rank,Country,GDP,"GDP
(abbrev.)","GDP
growth","Population
(2017)","GDP
per capita","Share of
World GDP"
1,United States,19485394000000,$19.485 trillion,0.02,325084756,59939,0.24
2,China,12237700479375,$12.238 trillion,0.07,1421021791,8612,0.15
3,Japan,4872415104315,$4.872 trillion,0.02,127502725,38214,0.06
4,Germany,3693204332230,$3.693 trillion,0.02,82658409,44680,0.05
5,India,2650725335364,$2.651 trillion,0.07,1338676785,1980,0.03
6,United Kingdom,2637866340434,$2.638 trillion,0.02,66727461,39532,0.03
7,France,2582501307216,$2.583 trillion,0.02,64842509,39827,0.03
8,Brazil,2053594877013,$2.054 trillion,0.01,207833823,9881,0.03
9,Italy,1943835376342,$1.944 trillion,0.02,60673701,32038,0.02
10,Canada,1647120175449,$1.647 trillion,0.03,36732095,44841,0.02
11,Russia,1578417211937,$1.578 trillion,0.02,145530082,10846,0.02
12,South Korea,1530750923149,$1.531 trillion,0.03,51096415,29958,0.02
13,Australia,1323421072479,$1.323 trillion,0.02,24584620,53831,0.02
14,Spain,1314314164402,$1.314 trillion,0.03,46647428,28175,0.02
15,Mexico,1150887823404,$1.151 trillion,0.02,124777324,9224,0.01
16,Indonesia,1015420587285,$1.015 trillion,0.05,264650963,3837,0.01
17,Turkey,851549299635,$852 billion,0.07,81116450,10498,0.01
18,Netherlands,830572618850,$831 billion,0.03,17021347,48796,0.01
19,Saudi Arabia,686738400000,$687 billion,-0.01,33101179,20747,0.01
20,Switzerland,678965423322,$679 billion,0.01,8455804,80296,0.01
21,Argentina,637430331479,$637 billion,0.03,43937140,14508,0.01
22,Sweden,535607385506,$536 billion,0.02,9904896,54075,0.01
23,Poland,526465839003,$526 billion,0.05,37953180,13871,0.01
24,Belgium,494763551891,$495 billion,0.02,11419748,43325,0.01
25,Thailand,455302682986,$455 billion,0.04,69209810,6579,0.01
26,Iran,454012768724,$454 billion,0.04,80673883,5628,0.01
27,Austria,416835975862,$417 billion,0.03,8819901,47261,0.01
28,Norway,399488897844,$399 billion,0.02,5296326,75428,0.00
29,United Arab Emirates,382575085092,$383 billion,0.01,9487203,40325,0.00
30,Nigeria,375745486521,$376 billion,0.01,190873244,1969,0.00
31,Israel,353268411919,$353 billion,0.03,8243848,42852,0.00
32,South Africa,348871647960,$349 billion,0.01,57009756,6120,0.00
33,Hong Kong,341449340451,$341 billion,0.04,7306322,46733,0.00
34,Ireland,331430014003,$331 billion,0.08,4753279,69727,0.00
35,Denmark,329865537183,$330 billion,0.02,5732274,57545,0.00
36,Singapore,323907234412,$324 billion,0.04,5708041,56746,0.00
37,Malaysia,314710259511,$315 billion,0.06,31104646,10118,0.00
38,Colombia,314457601860,$314 billion,0.02,48909839,6429,0.00
39,Philippines,313595208737,$314 billion,0.07,105172925,2982,0.00
40,Pakistan,304951818494,$305 billion,0.06,207906209,1467,0.00
41,Chile,277075944402,$277 billion,0.01,18470439,15001,0.00
42,Finland,252301837573,$252 billion,0.03,5511371,45778,0.00
43,Bangladesh,249723862487,$250 billion,0.07,159685424,1564,0.00
44,Egypt,235369129338,$235 billion,0.04,96442591,2441,0.00
45,Vietnam,223779865815,$224 billion,0.07,94600648,2366,0.00
46,Portugal,219308128887,$219 billion,0.03,10288527,21316,0.00
47,Czech Republic (Czechia),215913545038,$216 billion,0.04,10641034,20291,0.00
48,Romania,211883923504,$212 billion,0.07,19653969,10781,0.00
49,Peru,211389272242,$211 billion,0.03,31444298,6723,0.00
50,New Zealand,204139049909,$204 billion,0.03,4702034,43415,0.00
51,Greece,203085551429,$203 billion,0.01,10569450,19214,0.00
52,Iraq,192060810811,$192 billion,-0.02,37552781,5114,0.00
53,Algeria,167555280113,$168 billion,0.02,41389189,4048,0.00
54,Qatar,166928571429,$167 billion,0.02,2724728,61264,0.00
55,Kazakhstan,162886867832,$163 billion,0.04,18080019,9009,0.00
56,Hungary,139761138103,$140 billion,0.04,9729823,14364,0.00
57,Angola,122123822334,$122 billion,0.00,29816766,4096,0.00
58,Kuwait,120126277613,$120 billion,-0.03,4056099,29616,0.00
59,Sudan,117487857143,$117 billion,0.04,40813397,2879,0.00
60,Ukraine,112154185121,$112 billion,0.03,44487709,2521,0.00
61,Morocco,109708728849,$110 billion,0.04,35581255,3083,0.00
62,Ecuador,104295862000,$104 billion,0.02,16785361,6214,0.00
63,Cuba,96851000000,$96.85 billion,0.02,11339254,8541,0.00
64,Slovakia,95617670260,$95.62 billion,0.03,5447900,17551,0.00
65,Sri Lanka,87357205923,$87.36 billion,0.03,21128032,4135,0.00
66,Ethiopia,80561496134,$80.56 billion,0.10,106399924,757,0.00
67,Kenya,79263075749,$79.26 billion,0.05,50221142,1578,0.00
68,Dominican Republic,75931656815,$75.93 billion,0.05,10513104,7223,0.00
69,Guatemala,75620095538,$75.62 billion,0.03,16914970,4471,0.00
70,Oman,70783875163,$70.78 billion,0.00,4665928,15170,0.00
71,Myanmar,67068745521,$67.07 billion,0.07,53382523,1256,0.00
72,Luxembourg,62316359824,$62.32 billion,0.02,591910,105280,0.00
73,Panama,62283756584,$62.28 billion,0.05,4106769,15166,0.00
74,Ghana,58996776238,$59.00 billion,0.08,29121465,2026,0.00
75,Bulgaria,58220973783,$58.22 billion,0.04,7102444,8197,0.00
76,Costa Rica,57285984448,$57.29 billion,0.03,4949954,11573,0.00
77,Uruguay,56156972158,$56.16 billion,0.03,3436641,16341,0.00
78,Croatia,55213087271,$55.21 billion,0.03,4182857,13200,0.00
79,Belarus,54456465473,$54.46 billion,0.02,9450231,5762,0.00
80,Lebanon,53576985687,$53.58 billion,0.02,6819373,7857,0.00
81,Tanzania,53320625959,$53.32 billion,0.07,54660339,975,0.00
82,Macao,50361201096,$50.36 billion,0.09,622585,80890,0.00
83,Uzbekistan,49677172714,$49.68 billion,0.05,31959785,1554,0.00
84,Slovenia,48769655479,$48.77 billion,0.05,2076394,23488,0.00
85,Lithuania,47544459559,$47.54 billion,0.04,2845414,16709,0.00
86,Serbia,41431648801,$41.43 billion,0.02,8829628,4692,0.00
87,Azerbaijan,40747792238,$40.75 billion,0.00,9845320,4139,0.00
88,Jordan,40068308451,$40.07 billion,0.02,9785843,4095,0.00
89,Tunisia,39952095561,$39.95 billion,0.02,11433443,3494,0.00
90,Paraguay,39667400816,$39.67 billion,0.05,6867061,5776,0.00
91,Libya,38107728083,$38.11 billion,0.27,6580724,5791,0.00
92,Turkmenistan,37926285714,$37.93 billion,0.07,5757667,6587,0.00
93,DR Congo,37642482562,$37.64 billion,0.04,81398764,462,0.00
94,Bolivia,37508642113,$37.51 billion,0.04,11192855,3351,0.00
95,Côte d'Ivoire,37353276059,$37.35 billion,0.08,24437470,1529,0.00
96,Bahrain,35432686170,$35.43 billion,0.04,1494076,23715,0.00
97,Cameroon,34922782311,$34.92 billion,0.04,24566073,1422,0.00
98,Yemen,31267675216,$31.27 billion,-0.06,27834819,1123,0.00
99,Latvia,30463302414,$30.46 billion,0.05,1951097,15613,0.00
100,Estonia,26611651599,$26.61 billion,0.05,1319390,20170,0.00
101,Uganda,25995031850,$26.00 billion,0.04,41166588,631,0.00
102,Zambia,25868142073,$25.87 billion,0.03,16853599,1535,0.00
103,Nepal,24880266905,$24.88 billion,0.08,27632681,900,0.00
104,El Salvador,24805439600,$24.81 billion,0.02,6388126,3883,0.00
105,Iceland,24488467010,$24.49 billion,0.04,334393,73233,0.00
106,Honduras,22978532897,$22.98 billion,0.05,9429013,2437,0.00
107,Cambodia,22158209503,$22.16 billion,0.07,16009409,1384,0.00
108,Trinidad and Tobago,22079017627,$22.08 billion,-0.02,1384059,15952,0.00
109,Cyprus,22054225828,$22.05 billion,0.04,1179678,18695,0.00
110,Zimbabwe,22040902300,$22.04 billion,0.05,14236595,1548,0.00
111,Senegal,21070225735,$21.07 billion,0.07,15419355,1366,0.00
112,Papua New Guinea,20536314601,$20.54 billion,0.03,8438036,2434,0.00
113,Afghanistan,19543976895,$19.54 billion,0.03,36296113,538,0.00
114,Bosnia and Herzegovina,18054854789,$18.05 billion,0.03,3351525,5387,0.00
115,Botswana,17406565823,$17.41 billion,0.02,2205080,7894,0.00
116,Laos,16853087485,$16.85 billion,0.07,6953035,2424,0.00
117,Mali,15334336144,$15.33 billion,0.05,18512430,828,0.00
118,Georgia,15081338092,$15.08 billion,0.05,4008716,3762,0.00
119,Gabon,15013950984,$15.01 billion,0.01,2064823,7271,0.00
120,Jamaica,14781107822,$14.78 billion,0.01,2920848,5061,0.00
121,State of Palestine,14498100000,$14.50 billion,0.03,4747227,3054,0.00
122,Nicaragua,13814261536,$13.81 billion,0.05,6384846,2164,0.00
123,Mauritius,13266427697,$13.27 billion,0.04,1264499,10491,0.00
124,Namibia,13253698015,$13.25 billion,-0.01,2402633,5516,0.00
125,Albania,13038538300,$13.04 billion,0.04,2884169,4521,0.00
126,Mozambique,12645508634,$12.65 billion,0.04,28649018,441,0.00
127,Malta,12518134319,$12.52 billion,0.06,437933,28585,0.00
128,Burkina Faso,12322864245,$12.32 billion,0.06,19193234,642,0.00
129,Equatorial Guinea,12293579173,$12.29 billion,-0.05,1262002,9741,0.00
130,Bahamas,12162100000,$12.16 billion,0.01,381755,31858,0.00
131,Brunei,12128089002,$12.13 billion,0.01,424473,28572,0.00
132,Armenia,11536590636,$11.54 billion,0.08,2944791,3918,0.00
133,Madagascar,11499803807,$11.50 billion,0.04,25570512,450,0.00
134,Mongolia,11433635876,$11.43 billion,0.05,3113786,3672,0.00
135,North Macedonia,11279509014,$11.28 billion,0.00,2081996,5418,0.00
136,Guinea,10472514515,$10.47 billion,0.11,12067519,868,0.00
137,Chad,9871247732,$9.87 billion,-0.03,15016753,657,0.00
138,Benin,9246696924,$9.25 billion,0.06,11175198,827,0.00
139,Rwanda,9135454442,$9.14 billion,0.06,11980961,762,0.00
140,Congo,8701334800,$8.70 billion,-0.03,5110695,1703,0.00
141,Haiti,8408150518,$8.41 billion,0.01,10982366,766,0.00
142,Moldova,8128493432,$8.13 billion,0.05,4059684,2002,0.00
143,Niger,8119710126,$8.12 billion,0.05,21602382,376,0.00
144,Kyrgyzstan,7564738836,$7.56 billion,0.05,6189733,1222,0.00
145,Tajikistan,7146449583,$7.15 billion,0.08,8880268,805,0.00
146,Malawi,6303292264,$6.30 billion,0.04,17670196,357,0.00
147,Guam,5859000000,$5.86 billion,0.00,164281,35665,0.00
148,Fiji,5061202767,$5.06 billion,0.04,877459,5768,0.00
149,Mauritania,5024708656,$5.02 billion,0.04,4282570,1173,0.00
150,Maldives,4865546027,$4.87 billion,0.07,496402,9802,0.00
151,Montenegro,4844592067,$4.84 billion,0.05,627563,7720,0.00
152,Togo,4757776485,$4.76 billion,0.04,7698474,618,0.00
153,Barbados,4673500000,$4.67 billion,0.01,286232,16328,0.00
154,Eswatini,4433664364,$4.43 billion,0.02,1124805,3942,0.00
155,Sierra Leone,3775047334,$3.78 billion,0.04,7488423,504,0.00
156,Guyana,3621046005,$3.62 billion,0.03,775222,4671,0.00
157,Liberia,3285455000,$3.29 billion,0.02,4702226,699,0.00
158,Burundi,3172416146,$3.17 billion,0.01,10827019,293,0.00
159,Andorra,3012914131,$3.01 billion,0.02,77001,39128,0.00
160,Suriname,2995827901,$3.00 billion,0.02,570496,5251,0.00
161,Timor-Leste,2954621000,$2.95 billion,-0.08,1243258,2377,0.00
162,Aruba,2700558659,$2.70 billion,0.01,105366,25630,0.00
163,Lesotho,2578265358,$2.58 billion,-0.02,2091534,1233,0.00
164,Bhutan,2528007911,$2.53 billion,0.05,745563,3391,0.00
165,Central African Republic,1949411659,$1.95 billion,0.04,4596023,424,0.00
166,Belize,1862614800,$1.86 billion,0.01,375769,4957,0.00
167,Cabo Verde,1772706451,$1.77 billion,0.04,537498,3298,0.00
168,Saint Lucia,1737504296,$1.74 billion,0.04,180954,9602,0.00
169,San Marino,1632860041,$1.63 billion,0.02,33671,48495,0.00
170,Northern Mariana Islands,1593000000,$1.59 billion,0.25,56562,28164,0.00
171,Antigua and Barbuda,1510084751,$1.51 billion,0.03,95426,15825,0.00
172,Seychelles,1497959569,$1.50 billion,0.05,96418,15536,0.00
173,Gambia,1489464788,$1.49 billion,0.05,2213889,673,0.00
174,Guinea-Bissau,1346841897,$1.35 billion,0.06,1828145,737,0.00
175,Solomon Islands,1303453622,$1.30 billion,0.03,636039,2049,0.00
176,Grenada,1126882296,$1.13 billion,0.05,110874,10164,0.00
177,Comoros,1068124330,$1.07 billion,0.03,813892,1312,0.00
178,Saint Kitts & Nevis,992007403,$992 million,0.01,52045,19061,0.00
179,Vanuatu,862879789,$863 million,0.05,285510,3022,0.00
180,Samoa,840927997,$841 million,0.03,195352,4305,0.00
181,St. Vincent & Grenadines,785222509,$785 million,0.01,109827,7150,0.00
182,American Samoa,634000000,$634 million,-0.05,55620,11399,0.00
183,Dominica,496727000,$497 million,-0.10,71458,6951,0.00
184,Tonga,427659795,$428 million,0.03,101998,4193,0.00
185,Sao Tome & Principe,392570293,$393 million,0.04,207089,1896,0.00
186,Palau,289823500,$290 million,-0.04,17808,16275,0.00
187,Marshall Islands,204173430,$204 million,0.04,58058,3517,0.00
188,Kiribati,185572502,$186 million,0.00,114158,1626,0.00
189,Tuvalu,39731317,$40 million,0.03,11370,3494,0.00
